2023-06-30  7:08:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=389] with future log sequence number 8455565
2023-06-30  7:08:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=268] with future log sequence number 8455521
2023-06-30  7:08:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=329] with future log sequence number 8455521
2023-06-30  7:08:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=267] with future log sequence number 8455477
2023-06-30  7:08:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=418] with future log sequence number 8455477
2023-06-30  7:08:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=266] with future log sequence number 8455433
2023-06-30  7:08:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=343] with future log sequence number 8455433
2023-06-30  7:08:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=265] with future log sequence number 8455327
2023-06-30  7:08:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=352] with future log sequence number 8455327
2023-06-30  7:08:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=264] with future log sequence number 8455283
2023-06-30  7:08:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=392] with future log sequence number 8455283
2023-06-30  7:08:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=263] with future log sequence number 8455239
2023-06-30  7:08:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=351] with future log sequence number 8455239
2023-06-30  7:08:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=281] with future log sequence number 8546958
2023-06-30  7:08:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=393] with future log sequence number 8546958
2023-06-30  7:08:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=280] with future log sequence number 8546170
2023-06-30  7:08:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=390] with future log sequence number 8546170
2023-06-30  7:08:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=279] with future log sequence number 8545895
2023-06-30  7:08:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=77, page number=3] with future log sequence number 8545819
2023-06-30  7:08:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=77, page number=2] with future log sequence number 8545819
2023-06-30  7:08:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=430] with future log sequence number 8545895
2023-06-30  7:08:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=77, page number=1] with future log sequence number 8544379
2023-06-30  7:08:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=278] with future log sequence number 8543623
2023-06-30  7:08:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=2, page number=4] with future log sequence number 8547230
2023-06-30  7:08:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=394] with future log sequence number 8543623
2023-06-30  7:08:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=277] with future log sequence number 8542833
